,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Price,Close,High,Low,Open,Volume,MA50d,Signal,Return,Strategy
0,0,0,0,0,2023-01-03,123.09602355957033,128.8340031338152,122.2102267313656,128.22379338136977,112117500,,0,,
1,1,1,1,1,2023-01-04,124.36566162109376,126.62936374107429,123.10586505340991,124.88729543343348,89113600,,0,0.010314208573187766,0.0
2,2,2,2,2,2023-01-05,123.04681396484376,125.75341088924934,122.79092293482029,125.12351256937882,80962700,,0,-0.010604596470271233,-0.0
3,3,3,3,3,2023-01-06,127.57421112060548,128.2336347517989,122.91886860960568,124.02119442530204,87754700,,0,0.03679410307247166,0.0
4,4,4,4,4,2023-01-09,128.09580993652344,131.30436630158056,127.83991897613902,128.4107665197256,70790800,,0,0.004088591348802018,0.0
5,5,5,5,5,2023-01-10,128.6666717529297,129.1883055110105,126.09786503081403,128.20408860626057,63896200,,0,0.004456522166409238,0.0
6,6,6,6,6,2023-01-11,131.38314819335938,131.402821722743,128.40097153395064,129.17849644752224,69458900,,0,0.021112510360460357,0.0
7,7,7,7,7,2023-01-12,131.30441284179688,132.14098840377943,129.36550386584642,131.76699610111268,71379600,,0,-0.0005992804453629486,-0.0
8,8,8,8,8,2023-01-13,132.63307189941406,132.7905502170586,129.58200833933589,129.94616380817476,57809700,,0,0.010118921587334961,0.0
9,9,9,9,9,2023-01-17,133.79446411132812,135.12314807764807,132.01303370787318,132.7019826183309,63646600,,0,0.008756430016148897,0.0
10,10,10,10,10,2023-01-18,133.07598876953125,136.42232060237055,132.8988218980733,134.6605787592018,69672800,,0,-0.005369993045445054,-0.0
11,11,11,11,11,2023-01-19,133.13504028320312,134.0995687562006,131.65871475561192,131.96381962844052,58280400,,0,0.0004437428135450894,0.0
12,12,12,12,12,2023-01-20,135.69398498535156,135.84162653742413,132.1015991542997,133.14486670992753,80223600,,0,0.019220670206018475,0.0
13,13,13,13,13,2023-01-23,138.8828582763672,141.0579844042408,135.72351517113088,135.94004410758745,81760300,,0,0.023500476394439085,0.0
14,14,14,14,14,2023-01-24,140.2804718017578,140.90053342355856,138.0856717213938,138.0955084866108,66435100,,0,0.010063254333443128,0.0
15,15,15,15,15,2023-01-25,139.6210174560547,140.18201330953534,136.61915274790366,138.6663258108729,65799300,,0,-0.004700970400463578,-0.0
16,16,16,16,16,2023-01-26,141.68789672851562,141.9733130723702,139.66039693887691,140.91035682918778,54105100,,0,0.014803496709308028,0.0
17,17,17,17,17,2023-01-27,143.62680053710938,144.90628582720518,140.82179068901343,140.900529862646,70555800,,0,0.01368432910193329,0.0
18,18,18,18,18,2023-01-30,140.74305725097656,143.25281407268088,140.59543068062553,142.6721295386836,64015300,,0,-0.020078030530156776,-0.0
19,19,19,19,19,2023-01-31,142.01268005371094,142.06189391275458,140.0344090710312,140.4477784546675,65874500,,0,0.009020855646686421,0.0
20,20,20,20,20,2023-02-01,143.1346435546875,144.29602720051471,139.08952688042356,141.69769542128986,77663600,,0,0.00790044593589978,0.0
21,21,21,21,21,2023-02-02,148.43959045410156,148.79389409791816,145.83140682722515,146.54988091267057,118339000,,0,0.037062633948483636,0.0
22,22,22,22,22,2023-02-03,152.0615234375,154.8960731461596,145.4967979818679,145.69363837431163,154357300,,0,0.024400046997693492,0.0
23,23,23,23,23,2023-02-06,149.33526611328125,150.6836538403975,148.4002628109197,150.1620199448286,69858300,,0,-0.017928646659516656,-0.0
24,24,24,24,24,2023-02-07,152.20916748046875,152.7800151967711,148.26246234257331,148.26246234257331,83322600,,0,0.01924462614883904,0.0
25,25,25,25,25,2023-02-08,149.52223205566406,152.14025265616812,148.78406936876726,151.45130381865607,64120100,,0,-0.017652914533873076,-0.0
26,26,26,26,26,2023-02-09,148.48880004882812,151.89419715713953,148.04590544398496,151.3528748543498,56007100,,0,-0.006911560860402455,-0.0
27,27,27,27,27,2023-02-10,148.85354614257812,149.1788354914484,147.08911426452642,147.32569243849323,57450700,,0,0.002456387913634339,0.0
28,28,28,28,28,2023-02-13,151.6529998779297,152.05713357186568,148.76483299254943,148.79440338379132,62199000,,0,0.018806765494656874,0.0
